Notes,Date of first run,Other days run,Other days run,Date of best run,POM #,Date,filter ID,filter ID.2,filter ID.3,filter ID.4,filter ID.5,Tube Weight (g),Tube + Filter Wet Weight (g),Wet Disk(s) weight (g),Freeze Dried Tube + Sample (g),Dry Weight (g),Filter pre weight (g),Dry Material on Filter (g),Percent Dry,Percent Wet,Number of disks,DFO WVL Metadta file name,DFO WVL Metadta file name
no peaks,5/30/18,,,bad,_P02,10/12/16,QF2370,QF2374,QF2380,,,,,2.5116,,0.47087,0.3956,0.07527,2.99689441,97.00310559,3,POM Master Sample List,Master POM Sample Information FA analysis 2018
no peaks,5/30/18,,,bad,_P03,6/20/16,QF2007,QF2003,,,,,,1.4775,,0.2943,0.2527,0.0416,2.815566836,97.18443316,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
no peaks,5/30/18,,,bad,_P04,9/22/16,QF2328,QF2331,QF2332,,,,,2.3536,,0.452,0.012,0.44,18.69476547,81.30523453,3,POM Master Sample List,Master POM Sample Information FA analysis 2018
no peaks,5/30/18,,,bad,_P05,8/11/16,QF2134,QF2133,,,,,,1.6233,,0.3084,0.2594,0.049,3.018542475,96.98145752,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
no peaks,5/30/18,,,bad,_P06,11/9/16,QF2507,,,,,,,0.8285,,0.1527,0.1282,0.0245,2.957151479,97.04284852,1,POM Master Sample List,Master POM Sample Information FA analysis 2018
no peaks,5/30/18,,,bad,_P07,7/21/16,QF2269,QF2268,QF2271,,,,,2.3518,,0.4498,0.3847,0.0651,2.768092525,97.23190748,3,POM Master Sample List,Master POM Sample Information FA analysis 2018
no peaks,5/30/18,,,bad,_P08,8/1/16,QF2272,QF2270,,,,,,1.594,,0.3086,0.2574,0.0512,3.212045169,96.78795483,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
no peaks,5/30/18,,,bad,_P09,9/1/16,QF2327,QF2135,,,,,,1.5743,,0.3105,0.2603,0.0502,3.188718796,96.8112812,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,,,3/24/18,_P15,6/5/17,QF3338,QF3259,QF3337,,,13.749,15.2514,1.5024,14.0518,0.3028,,0.3028,20.1544196,79.8455804,2,POM Master Sample List,Master POM Sample Information FA analysis 2018
low but okay,3/24/18,,,3/24/18,_P16,8/21/17,QF3697,QF3698,QF3611,,,13.5975,16.0193,2.4218,14.0623,0.4648,,0.4648,19.19233628,80.80766372,3,POM Master Sample List,Master POM Sample Information FA analysis 2018
