ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Survey,Sampling Bout,Site ID,Project Specific ID,Hakai ID,Source,Lat,Long,Gather Lat,Gather Long,Mesh Size (um),Net Dim. (cm),Net Length (cm),Line Out Depth,Pressure Transducer Depth (m),Sample Style,Volume (ml),Lugols,Collected,Preserved,Analyzed,Lab Technician,Analyzing Lab,Comments,Quality Log,Sample Status,Quality Level
,416,1,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,9,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-03-18 09:02:55,2015-03-18 09:02:14,,"Kate,Katie,Rebecca",,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Collected,Raw
,416,2,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,QPHY9,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-03-18 09:02:55,2015-03-18 09:02:14,,"Kate,Katie,Rebecca",,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Submitted,Raw
,416,1,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,10,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-03-18 09:02:55,2015-03-18 09:02:14,,"Kate,Katie,Rebecca",,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Collected,Raw
,416,1,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,11,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-03-18 09:02:55,2015-03-18 09:02:14,,"Kate,Katie,Rebecca",,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Collected,Raw
,416,1,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,12,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-03-18 09:02:55,2015-03-18 09:02:14,,"Kate,Katie,Rebecca",,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Collected,Raw
,504,1,2015-03-24,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,QPHY13,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-03-24 09:04:16,2015-03-24 11:19:25,,"Rebecca,Other",,,,Collected,Raw
,504,1,2015-03-24,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,QPHY14,M,50.0307,-125.0992,,,,,,5,,Grab Sample,200,TRUE,2015-03-24 09:04:16,2015-03-24 11:19:25,,"Rebecca,Other",,,1: Sent to Microthalassia at VIU,Submitted,Raw
,504,1,2015-03-24,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,QPHY15,M,50.0307,-125.0992,,,,,,10,,Grab Sample,200,TRUE,2015-03-24 09:04:16,2015-03-24 11:19:25,,"Rebecca,Other",,,,Collected,Raw
,504,1,2015-03-24,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,,QPHY16,M,50.0307,-125.0992,,,,,,30,,Grab Sample,200,TRUE,2015-03-24 09:04:16,2015-03-24 11:19:25,,"Rebecca,Other",,,,Collected,Raw
,531,1,2015-03-31,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,,QPHY17,M,50.0307,-125.0992,,,,,,0,,Grab Sample,200,TRUE,2015-03-31 08:57:34,2015-03-31 12:01:00,,"Katie,Other",,,1: Ctd only dropped to 165m,Collected,Raw
